ARK	200	214	214$c	700	300$a
ark:/12148/cb46993927z	 $a Délicieusement farouche $b Texte imprimé $f Méline Darsck	 $a La Rochelle $c Libertine éditions $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Libertine éditions¤Impr. Sobook	 $3 17728380 $o ISNI0000000464766961 $a Darsck $b Méline $f 1973-.... $4 070	
ark:/12148/cb469566271	 $a L'absence est une invention du diable $b Texte imprimé $f Jean-Claude Ettori	 $a [Perpignan] $c Éditions Sabine $d DL 2022¤ $a 66-Perpignan $c Impr. MTM	Éditions Sabine¤Impr. MTM	 $3 12288344 $o ISNI0000000030604594 $a Ettori $b Jean-Claude $f 1947-.... $4 070	
ark:/12148/cb46953577k	 $a Vivre l'Évangile avec le roi Baudouin $b Texte imprimé $f Albéric de Palmaert	 $a Paris $c Pierre Téqui éditeur $d DL 2020¤ $a 53-Bonchamp-lès-Laval $c Impr. Téqui	Pierre Téqui éditeur¤Impr. Téqui	 $3 12040695 $o ISNI0000000032115997 $a Palmaert $b Albéric de $f 1950-.... $4 070	
ark:/12148/cb469534372	 $a L'art de tuer $b Texte imprimé $e de Pont-Aven à Concarneau $f Charles Collobert	 $a [Sables-d'or-les-Pins] $c Éditions Astoure $d DL 2021¤ $a 22-Guingamp $c Impr. Roudenngrafik	Éditions Astoure¤Impr. Roudenngrafik	 $3 17925433 $o ISNI0000000493610499 $a Collobert $b Charles $f 1989-.... $4 070	
ark:/12148/cb469617875	 $a Les pentes $b Texte imprimé $f Sioux Berger	 $a Clermont-Ferrand $c dB $d DL 2022¤ $a 18-Saint-Amand-Montrond $c Impr. CPI Bussière	dB¤Impr. CPI Bussière	 $3 15051707 $o ISNI0000000078457757 $a Berger $b Sioux $4 070	 $a dB = de Borée
ark:/12148/cb469499877	 $a Bijoux, montres de collection & numismatique $b Texte imprimé $e vente, Paris, 8 avril 2021 $f Maison R & C	 $a Paris $c Maison R & C $d [2021]	Maison R & C		
ark:/12148/cb47041097q	 $a Visions liturgiques $b Texte imprimé $f Bertrand Lemaire	 $a Bonchamp-lès-Laval $c Pierre Téqui éditeur $d DL 2021¤ $a 53-Bonchamp-lès-Laval $c Impr. Téqui	Pierre Téqui éditeur¤Impr. Téqui	 $3 12253477 $o ISNI0000000121223762 $a Lemaire $b Bertrand $f 1934-.... $4 070	
ark:/12148/cb470011270	 $a Coconut et Amadou $b Texte imprimé $f par R. Dansler	 $a Tourcoing $c Artima $d 1945-1946	Artima	 $3 12316430 $o ISNI0000000006481643 $a Dansler $b Robert $f 1900-1972 $4 070	 $a http://collections.citebd.org/in/faces/details.xhtml?id=h::58159881-5909-49cd-b844-9c4dbf8b0bd7
ark:/12148/cb470685678	 $a Bijoux & orfèvrerie $b Texte imprimé $e vente, Paris, 1er et 2 décembre 2020 $f Pescheteau-Badin	 $a Paris $c Pescheteau-Badin $d [2020]	Pescheteau-Badin		
ark:/12148/cb46953578x	 $a Vivre l'Évangile avec Marguerite Hoppenot $b Texte imprimé $f Albéric de Palmaert $g préface de Mgr Bernard Charrier,...	 $a Paris $c Pierre Téqui éditeur $d DL 2018¤ $a Paris $c Impr. Pulsio	Pierre Téqui éditeur¤Impr. Pulsio	 $3 12040695 $o ISNI0000000032115997 $a Palmaert $b Albéric de $f 1950-.... $4 070	
ark:/12148/cb46953468b	 $a Mort d'un gueux à Langueux $b Texte imprimé $f Bernard de Fonclare	 $a [Sables-d'Or-les-Pins] $c Éditions Astoure $d DL 2021¤ $a 22-Guingamp $c Impr. Roudenngrafik	Éditions Astoure¤Impr. Roudenngrafik	 $3 16652746 $a Fonclare $b Bernard de $f 1960-.... $4 070	
ark:/12148/cb469917884	 $a La pluie attendra $b Texte imprimé $e roman $f Carole Duplessy-Rousée	 $a Paris $c 123 $d DL 2022¤ $a 18-Saint-Amand-Montrond $c Impr. CPI Bussière	123¤Impr. CPI Bussière	 $3 15993839 $o ISNI0000000078095178 $a Duplessy-Rousée $b Carole $f 1967-.... $4 070	
ark:/12148/cb46949948b	 $a Orfèvrerie, céramiques d'Asie $b Texte imprimé $e vente, Paris, 18 juin 2021 $f Pescheteau-Badin	 $a Paris $c Pescheteau-Badin $d [2021]	Pescheteau-Badin		
ark:/12148/cb469499083	 $a Musique $b Texte imprimé $e vente, Paris, 20 novembre 2020 $f Aguttes	 $a Neuilly-sur-Seine $c Aguttes $d [2020]	Aguttes		
ark:/12148/cb469873888	 $a Bonjour lapin de Pâques $b Texte imprimé	 $a Anvers $c Ballon $d DL 2022¤ $a impr. en Chine	Ballon		 $a Livre cartonné avec des oreilles en tissu¤ $a Diffusé en France
ark:/12148/cb46987738t	 $a La bassine $b Texte imprimé $f Armelle Modéré, Amélie Videlo	 $a Paris $c Mango jeunesse $d DL 2021¤ $a impr. en Pologne	Mango jeunesse	 $3 13761299 $o ISNI0000000121464291 $a Modéré $b Armelle $f 1971-.... $4 070	
ark:/12148/cb469887084	 $a Le secret d'Anna $b Texte imprimé $f Lola Swann	 $a Le Grand-Quevilly $c Relicha $d DL 2022¤ $a impr. en Allemagne	Relicha	 $3 18030389 $o ISNI0000000508090474 $a Swann $b Lola $4 070	
ark:/12148/cb46995648k	 $a Colère verte $b Texte imprimé $f Roland Sadaune	 $a [Nesles-la-Vallée] $c Val d'Oise éditions $d DL 2022¤ $a 95-Nesles-la-Vallée $c Impr. Rank industrie	Val d'Oise éditions¤Impr. Rank industrie	 $3 13208686 $o ISNI0000000035342466 $a Sadaune $b Roland $f 1940-.... $4 070	
ark:/12148/cb46995868r	 $a 129 fois Nelly B. $b Texte imprimé $f Katja Hunsinger	 $a Lorient $c la Ronde de nuit éditions $d DL 2022¤ $a 29-Brest $c Impr. Cloître	la Ronde de nuit éditions¤Impr. Cloître	 $3 13629718 $o ISNI0000000047797214 $a Hunsinger $b Katja $f 1967-.... $4 070	
ark:/12148/cb469624987	 $a Moi veux ça ! $b Texte imprimé $f Stephanie Blake	 $a Paris $c l'École des loisirs-Minimax $d DL 2021¤ $a 86-Ligugé $c Aubin impr.	l'École des loisirs-Minimax¤Aubin impr.	 $3 11892201 $o ISNI0000000122812569 $a Blake $b Stephanie $f 1968-.... $4 070	
ark:/12148/cb469625181	 $a Le thé se boit sans sucre $b Texte imprimé $e chroniques d'un monde épicurien $f Marie Hourtoule	 $a [Chaumont] $c Éditions Douro¤ $d C 2021¤ $a 78-Maurepas $c Impr. Lightning source	Éditions Douro¤Impr. Lightning source	 $3 18023062 $o ISNI0000000507303642 $a Hourtoule $b Marie $f 1955-.... $4 070	 $a Notice réd. d'après la couv.
ark:/12148/cb46972418z	 $a Des miettes pour les petits chiens $b Texte imprimé $f Ange Rodriguez,...	 $a Mérignies $c Éditions de la Licorne $d impr. 2016¤ $a 84-Pernes-les-Fontaines $c MG impr.	Éditions de la Licorne¤MG impr.	 $3 15605242 $o ISNI0000000005089359 $a Rodriguez $b Ange $f 1937-.... $4 070	
ark:/12148/cb46958708h	 $a Liés par la mort $b Texte imprimé $f Baptiste Barbier	 $a Morhange $c SK éditions $d DL 2022¤ $a 78-Maurepas $c Impr. Lightning source	SK éditions¤Impr. Lightning source	 $3 18021199 $o ISNI0000000507256321 $a Barbier $b Baptiste $f 1994-.... $4 070	
ark:/12148/cb46959028f	 $a Un prince mélancolique $b Texte imprimé $f Martine Gasnier	 $a Carcassonne $c Encre bleue éditeur $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	Encre bleue éditeur¤Impr. CPI Firmin-Didot	 $3 11904247 $o ISNI0000000026364137 $a Gasnier $b Martine $f 1948-.... $4 070	
ark:/12148/cb469598786	 $a Politique de l'auteur $h 3 $b Texte imprimé $e Godard, Fassbinder, Vaneigem, Debord, Fourier, Graeber, Cosey Fanni Tutti etc. $f René Noël, Jacques Sicard, Philippe Blanchon, Bruno Lemoine	 $a [Toulon] $c la Nerthe $d impr. 2022¤ $a 64-Orthez $c ICN impr.	la Nerthe¤ICN impr.		 $a Notice réd. d'après la couv.
ark:/12148/cb46950128j	 $a Collections privées $b Texte imprimé $e dessins, tableaux, céramique, argenterie, mobilier, objets d'art, tapis $e vente, Paris, 2 juin 2021 $f Daguerre	 $a Paris $c Daguerre $d [2021]	Daguerre		
ark:/12148/cb46950308g	 $a Vincent Van Gogh, "Scène de rue à Montmartre", 1887 $b Texte imprimé $e vente, Paris, 25 mars 2021 $f Sotheby's France	 $a Paris $c Sotheby's France $d [2021]	Sotheby's France		
ark:/12148/cb46971748g	 $a Marmailles de la plaine des Cafres $b Texte imprimé $e mon enfance redonnée $e récit $f Line Turpin	 $a Saint-Denis (La Réunion) $c Orphie $d DL 2020¤ $a 63-Riom $c Impr. la Source d'or	Orphie¤Impr. la Source d'or	 $3 18021118 $o ISNI0000000507255863 $a Turpin $b Line $f 1942-.... $4 070	
ark:/12148/cb469788682	 $a La vallée heureuse $b Texte imprimé $e au coeur des territoires $f Émilie Rancés Janvier	 $a Paris $c Éditions Complicités $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Éditions Complicités¤Impr. Sobook	 $3 18032195 $o ISNI0000000508161519 $a Rancés Janvier $b Émilie $f 1980?-.... $4 070	
ark:/12148/cb46995568x	 $a Ligne 11 $b Texte imprimé $e chemin de croix métropolitain $f texte et photos, Christian Grenouillet...	 $a Châteauroux-les-Alpes $c Gros textes $d DL 2022¤ $a 05-Châteauroux-les-Alpes $c Impr. Gros textes	Gros textes¤Impr. Gros textes	 $3 13550536 $o ISNI0000000439736824 $a Grenouillet $b Christian $4 070	
ark:/12148/cb469411486	 $a If you wanna be my lover $b Texte imprimé $f Emma Green	 $a Paris $c Addictives $d DL 2021¤ $a impr. en République tchèque	Addictives	 $3 16697249 $o ISNI0000000416450292 $a Green $b Emma $f 1984-.... $4 070	
ark:/12148/cb46941768g	 $a Le clan des aigles $b Texte imprimé $f Cassandra O'Donnell	 $a Paris $c Éditions de Noyelles $d DL 2021¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	Éditions de Noyelles¤Impr. CPI Firmin-Didot	 $3 16520730 $o ISNI0000000120529030 $a O'Donnell $b Cassandra $4 070	
ark:/12148/cb469684782	 $a Le fief seigneurial de La Ronde et son moulin $b Texte imprimé $f Martine Arnault, Daniel Moulin	 $a Vatan $c Romain Guignard association $d 2021¤ $a 78-Trappes $c Impr. Eoz	Romain Guignard association¤Impr. Eoz	 $3 17999371 $o ISNI0000000506326869 $a Arnault $b Martine $f 1953-.... $4 070	 $a Bibliogr. p. 232-234
ark:/12148/cb46960618t	 $a Eğitim bilimlerinde bilimsel araştırmalar $b Texte imprimé $f editör, Dr Murat Yiğit	 $a Lyon $c Livre de Lyon $d 2021	Livre de Lyon		
ark:/12148/cb46983918s	 $a Et dire qu'il y a encore des cons qui croient que la terre est ronde $b Texte imprimé $f Maurice Gouiran	 $a Marseille $c Éditions Jigal $d DL 2022¤ $a impr. en Bulgarie	Éditions Jigal	 $3 13503764 $o ISNI0000000000926760 $a Gouiran $b Maurice $f 1946-.... $4 070	
ark:/12148/cb46993908p	 $a Sex 2.0 $b Texte imprimé $f Sullivan	 $a La Rochelle $c Libertine éditions $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Libertine éditions¤Impr. Sobook	 $3 18029332 $o ISNI0000000508060355 $a Sullivan $f 19..-.... $4 070	
ark:/12148/cb46948058x	 $a L'arbre chante $b Texte imprimé $f Éric Chassefière	 $a Saintes $c Éditions Alcyone $d DL 2021¤ $a 17-Jonzac $c Impr. Alcyone	Éditions Alcyone¤Impr. Alcyone	 $3 12224323 $o ISNI0000000381642664 $a Chassefière $b Éric $f 1956-.... $4 070	
ark:/12148/cb46942178c	 $a Alerte aux Pieds-Bleus $b Texte imprimé $f texte et illustrations de Morris	 $a Marcinelle (Belgique) $a [Paris] $c Dupuis $d DL 2022¤ $a 91-Palaiseau $c Impr. PPO	Dupuis¤Impr. PPO	 $3 11916919 $o ISNI0000000121458262 $a Morris $f 1923-2001 $4 440	
ark:/12148/cb470575685	 $a Le rond de serviette est-il de droite ? $b Texte imprimé $e et autres considérations essentielles $f Richard de Seze	 $a Paris $c la Nouvelle librairie éditions $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	la Nouvelle librairie éditions¤Impr. Présence graphique	 $3 16998516 $a Seze $b Richard de $4 070	
ark:/12148/cb47039448b	 $a Les fiancés de la Briance $b Texte imprimé $e roman $f Pierre Louty,...	 $a Neuvic-Entier $c les Éditions de la Veytizou $d DL 2022¤ $a 19-Brive-la-Gaillarde $c Imprimeurs corréziens	les Éditions de la Veytizou¤Imprimeurs corréziens	 $3 12051087 $o ISNI0000000028679925 $a Louty $b Pierre $f 1947-.... $4 070	
ark:/12148/cb47089118m	 $a Rapsodia incompiuta $b Texte imprimé $f di Margaret Way	 $a Milano $c Harlequin Mondadori $d 1985¤ $a 18-Saint-Amand $c Impr. Bussière	Harlequin Mondadori¤Impr. Bussière	 $3 12645991 $o ISNI0000000121416433 $a Way $b Margaret $4 070	
ark:/12148/cb47009878r	 $a Nouée de perles et de cailloux $b Texte imprimé $f Nathalie Dupont et Marie-Frédérique Rabiller	 $a Wickham $c Éditions de la Cigale de Sienne $d DL 2022¤ $a 85-Le Poiré-sur-Vie $c Impr. graphique de l'Ouest	Éditions de la Cigale de Sienne¤Impr. graphique de l'Ouest	 $3 18034019 $a Dupont $b Nathalie $f 1971-.... $4 070	
ark:/12148/cb47077908t	 $a À la découverte de Jésus et des premiers chrétiens $b Texte imprimé $e manuel de l'animateur	 $a Charols $c Éditions Excelsis $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	Éditions Excelsis¤Impr. Présence graphique		
ark:/12148/cb470597686	 $a Jouets de collection $b Texte imprimé $e vente, Chartres, 23 avril 2022 $f Ivoire Chartres	 $a Chartres $c Galerie de Chartres $d [2022]	Galerie de Chartres		
ark:/12148/cb47041108j	 $a L'écologie humaine, une espérance politique $b Texte imprimé $f Cyril Douillet	 $a Bonchamp-lès-Laval $c Pierre Téqui éditeur $d DL 2021¤ $a 53-Bonchamp-lès-Laval $c Impr. Téqui	Pierre Téqui éditeur¤Impr. Téqui	 $3 15552484 $o ISNI0000000001550865 $a Douillet $b Cyril $f 1979-.... $4 070	
ark:/12148/cb46982519s	 $a L'Anneau-Monde $b Texte imprimé $f Larry Niven	 $a Saint-Laurent-d'Oingt $c les Éditions Mnémos $d 2021¤ $a impr. en Bulgarie	les Éditions Mnémos	 $3 11917749 $o ISNI0000000081151871 $a Niven $b Larry $f 1938-..... $4 070	 $a Glossaire
ark:/12148/cb46998839w	 $a Sombre folie $b Texte imprimé $e roman $f Eva Delambre	 $a Noisy-sur-École $c Fragrances $d DL 2022¤ $a impr. en Bulgarie	Fragrances	 $3 16684419 $o ISNI0000000409170399 $a Delambre $b Eva $f 1978-.... $4 070	
ark:/12148/cb46973939j	 $a Je ne suis pas mort, je dors $b Texte imprimé $e thriller $f Jean-Luc Doumont	 $a Québec $c Crescendo $d DL 2021¤ $a impr. au Canada	Crescendo	 $3 15715603 $o ISNI0000000004714191 $a Doumont $b Jean-Luc $4 070	 $a Fait suite à "S'enfuir et après", ISBN 978-2-925117-21-6¤ $a Diffusé en France
ark:/12148/cb46995249t	 $a La ravine $b Texte imprimé $f Sadou Czapka	 $a Cordes-sur-Ciel $c Rafael de Surtis éditions $d DL 2021¤ $a 81-Cordes-sur-Ciel $c Impr. Rafael de Surtis	Rafael de Surtis éditions¤Impr. Rafael de Surtis	 $3 14516441 $o ISNI0000000000727219 $a Czapka $b Sadou $f 1978-.... $4 070	
ark:/12148/cb46995309v	 $a Le vice au corps $b Texte imprimé $f Cornélius	 $a Paris $c Média 1000 $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	Média 1000¤Impr. Présence graphique	 $3 13624630 $a Cornélius $f 19..-.... $4 070	
ark:/12148/cb46978969p	 $a Piège au royaume des ombres $b Texte imprimé $f Anne Robillard	 $a Neuilly-sur-Seine $c Michel Lafon poche $d DL 2022¤ $a impr. en Espagne	Michel Lafon poche	 $3 14484442 $o ISNI0000000121390042 $a Robillard $b Anne $f 1955-.... $4 070	
ark:/12148/cb469789492	 $a Les dragons de l'empereur noir $b Texte imprimé $f Anne Robillard	 $a Neuilly-sur-Seine $c Michel Lafon poche $d DL 2022¤ $a impr. en Espagne	Michel Lafon poche	 $3 14484442 $o ISNI0000000121390042 $a Robillard $b Anne $f 1955-.... $4 070	
ark:/12148/cb469594098	 $a Mission à Beyrouth $b Texte imprimé $f [Jeanloubar]	 $a Aubagne $c Groupe CCEE $d 2021	Groupe CCEE	 $3 16526526 $o ISNI000000050721640X $a Jeanloubar $f 1951-.... $4 070	
ark:/12148/cb46959519v	 $a Dédale d'un soupeur $b Texte imprimé $f Rémy Bouchinet $g un texte pour et avec Romain Gneouchev	 $a Strasbourg $c Fugue 31 $d 2021¤ $a 67-Strasbourg $c Impr. le Boulevard	Fugue 31¤Impr. le Boulevard	 $3 18026180 $o ISNI0000000507757302 $a Bouchinet $b Rémy $f 1992-.... $4 070	
ark:/12148/cb46959049d	 $a Elle venait d'Odessa $b Texte imprimé $e du non-dit au nom dit $f Marie Audran	 $a Carcassonne $c Encre bleue éditeur $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	Encre bleue éditeur¤Impr. CPI Firmin-Didot	 $3 16916928 $a Audran $b Marie $4 070	
ark:/12148/cb46962689t	 $a Les collégiens $b Texte imprimé $f Colas Gutman	 $a Paris $c l'École des loisirs-Supermax $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	l'École des loisirs-Supermax¤Impr. CPI Firmin-Didot	 $3 15073182 $o ISNI0000000004832681 $a Gutman $b Colas $f 1972-.... $4 070	
ark:/12148/cb469811799	 $a Avec Gallieni de Saint-Béat à Saint-Raphaël $b Texte imprimé $f Jacques Bergeon	 $a Nîmes $c C. Lacour éditeur $d 2021¤ $a 30-Nîmes $c Impr. Christian Lacour-Ollé	C. Lacour éditeur¤Impr. Christian Lacour-Ollé	 $3 16150666 $o ISNI0000000071825916 $a Bergeon $b Jacques $f 1932?-.... $4 070	
ark:/12148/cb469811392	 $a Goiter $b Texte imprimé $f bandes dessinées par Josh Pettinger	 $a Margny-lès-Compiègne $c Zine panique $d DL 2022¤ $a impr. en Italie	Zine panique	 $3 18025877 $o ISNI0000000507732682 $a Pettinger $b Josh $4 070	 $a Trad. de l'anglais
ark:/12148/cb469448496	 $a La fille du maître brasseur $b Texte imprimé $e roman $f Marie-Paul Armand	 $a [Paris] $c le Grand livre du mois $d DL 2021¤ $a 12-Millau $c Impr. Maury	le Grand livre du mois¤Impr. Maury	 $3 12041864 $o ISNI0000000059552804 $a Armand $b Marie-Paul $4 070	
ark:/12148/cb469926496	 $a Fugitive $b Texte imprimé $f Georges Peignard	 $a Paris $c le Tripode $d DL 2022¤ $a impr. en Lettonie	le Tripode	 $3 17849745 $o ISNI0000000057852133 $a Peignard $b Georges $f 1963-.... $4 070	
ark:/12148/cb46974569m	 $a Il y aura un chant $b Texte imprimé $f Jean-Claude Albert Coiffard	 $a [Assérac] $c des Sources et des livres $d 2021¤ $a 35-Cesson-Sévigné $c Impr. Identic	des Sources et des livres¤Impr. Identic	 $3 13630439 $o ISNI0000000001110990 $a Coiffard $b Jean-Claude Albert $f 1933-.... $4 070	
ark:/12148/cb46969779g	 $a Heureux qui, comme Hannibal $b Texte imprimé $e roman $f Dominique Lanni $g illustrations d'Ada Natale	 $a Paris $c Arthaud $d DL 2020¤ $a 61-Lonrai $c Normandie roto impr.	Arthaud¤Normandie roto impr.	 $3 13180017 $o ISNI0000000116315371 $a Lanni $b Dominique $f 1976-.... $4 070	
ark:/12148/cb469500090	 $a Arts du XXe siècle $b Texte imprimé $e vente, Paris, 15 avril 2021 $f Binoche et Giquello	 $a Paris $c Binoche et Giquello $d [2021]	Binoche et Giquello		
ark:/12148/cb46950039x	 $a Sculptures dont un ensemble d'oeuvres de Robert Wlérick (1882-1944) $b Texte imprimé $e vente, Paris, 8 juin 2021 $f Crait + Müller	 $a Paris $c Crait + Müller $d [2021]	Crait + Müller		
ark:/12148/cb469502295	 $a Collection René Siméoni $b Texte imprimé $e vente, Paris, 2 juillet 2021 $f Hôtel des ventes de Mantes-la-Jolie	 $a Mantes-la-Jolie $c Hôtel des ventes de Mantes-la-Jolie $d [2021]	Hôtel des ventes de Mantes-la-Jolie		
ark:/12148/cb46950249s	 $a Jouets de collection $b Texte imprimé $e vente, Chartres, 24 avril 2021 $f Ivoire Chartres	 $a Chartres $c Galerie de Chartres $d [2021]	Galerie de Chartres		
ark:/12148/cb469858498	 $a Petit chien et ses amis $b Texte imprimé	 $a Anvers $c Ballon $d DL 2022¤ $a impr. en Chine	Ballon		 $a Livre cartonné avec des oreilles en tissu¤ $a Diffusé en France
ark:/12148/cb46949939c	 $a Art contemporain, photographies dont collection Léo Scheer et Nathalie Rheims $b Texte imprimé $e vente, Paris, 9 mars 2021 $f Crait + Müller	 $a Paris $c Crait + Müller $d [2021]	Crait + Müller		
ark:/12148/cb469662990	 $a Ulysse le voyageur $b Texte imprimé $f Françoise Rachmuhl	 $a Paris $c Flammarion jeunesse $d DL 2022¤ $a impr. en Espagne	Flammarion jeunesse	 $3 11920963 $o ISNI0000000108624481 $a Rachmühl $b Françoise $f 1931-.... $4 070	
ark:/12148/cb46993919b	 $a Routine et décadence $b Texte imprimé $f Manon T	 $a La Rochelle $c Libertine éditions $d DL 2021¤ $a 59-Linselles $c Impr. Sobook	Libertine éditions¤Impr. Sobook	 $3 16204541 $a T. $b Manon $4 070	
ark:/12148/cb46993879x	 $a Alaska, me voilà ! $b Texte imprimé $f Jessie Moon	 $a La Rochelle $c Évidence éditions $d DL 2022¤ $a 59-Linselles $c Impr. Sobook	Évidence éditions¤Impr. Sobook	 $3 17948628 $a Moon $b Jessie $4 070	
ark:/12148/cb469835896	 $a Mauvaise graine $b Texte imprimé $f Nicolas Jaillet	 $a Paris $c Points $d DL 2021	Points	 $3 14504355 $o ISNI000000011469622X $a Jaillet $b Nicolas $f 1971-.... $4 070	
ark:/12148/cb469659494	 $a Une amitié inoubliable $b Texte imprimé $f Catherine Kalengula	 $a Paris $c Fleurus $d DL 2021¤ $a 25-Autechaux $c Estimprim	Fleurus¤Estimprim	 $3 15101912 $o ISNI0000000005016483 $a Kalengula $b Catherine $f 1972-.... $4 070	 $a Lexique
ark:/12148/cb46970559b	 $a Comme des éclats de toi $b Texte imprimé $e roman $f Marie Joudinaud	 $a Paris $c l'Archipel $d DL 2022¤ $a 61-Lonrai $c Normandie roto impr.	l'Archipel¤Normandie roto impr.	 $3 18022027 $a Joudinaud $b Marie $4 070	
